I_E_FLAG,END_DATE,DECL_PORT,I_E_PORT,COUNTRY,DELAY,,,
I,2018-10-29 09:02:15,3713,3715,136,26239.14412,0.183333334,13.84518572,
I,2018-10-29 09:02:17,3713,5301,142,26240.40277,0.016666665,1.25865314,
I,2018-10-29 09:02:21,3715,3715,116,26242.92008,0.033333336,2.517306675,
E,2018-10-29 09:02:37,3714,3714,129,26252.9893,0.133333333,10.06922591,
I,2018-10-29 09:03:08,3715,3715,304,26272.49843,0.258333331,19.50912505,
I,2018-10-29 09:03:14,3715,3715,116,26276.27439,0.050000001,3.775959815,
I,2018-10-29 09:03:24,3703,3703,142,26282.56765,0.083333332,6.293266094,
I,2018-10-29 09:03:48,3713,3715,143,26297.67149,0.2,15.10383886,
E,2018-10-29 09:03:52,3708,3708,142,26300.1888,0.033333336,2.517306675,
I,2018-10-29 09:04:14,3713,5301,310,26314.03398,0.183333334,13.84518572,
I,2018-10-29 09:04:16,3715,3715,110,26315.29264,0.016666665,1.25865314,
I,2018-10-29 09:04:18,3713,5301,142,26316.55129,0.016666665,1.25865314,
E,2018-10-29 09:04:24,3708,3711,143,26320.32725,0.050000001,3.775959815,
I,2018-10-29 09:04:44,3711,3711,142,26332.91378,0.166666664,12.58653219,
I,2018-10-29 09:04:55,3715,3715,344,26339.83638,0.091666667,6.922592861,
I,2018-10-29 09:05:06,3715,3715,305,26346.75897,0.091666667,6.922592861,
I,2018-10-29 09:05:06,3715,3715,110,26346.75897,0,0,
I,2018-10-29 09:05:16,3713,3715,110,26353.05223,0.083333332,6.293266094,
E,2018-10-29 09:05:18,3708,3711,142,26354.31089,0.016666671,1.258653535,
E,2018-10-29 09:05:22,3708,3711,142,26356.82819,0.033333331,2.517306279,
E,2018-10-29 09:05:26,3717,3717,143,26359.3455,0.033333336,2.517306675,
E,2018-10-29 09:05:36,3708,3708,303,26365.63877,0.083333332,6.293266094,
E,2018-10-29 09:05:36,3711,3711,116,26365.63877,0,0,
I,2018-10-29 09:05:36,3713,5301,143,26365.63877,0,0,
I,2018-10-29 09:05:47,3713,3715,143,26372.56136,0.091666667,6.922592861,
I,2018-10-29 09:05:57,3715,3715,116,26378.85463,0.083333332,6.293266094,
I,2018-10-29 09:06:06,3715,3715,502,26384.51857,0.075000002,5.663939722,
E,2018-10-29 09:06:18,3708,3708,142,26392.07048,0.099999997,7.551919233,
E,2018-10-29 09:06:18,3717,3717,143,26392.07048,0,0,
E,2018-10-29 09:06:26,3709,3709,143,26397.1051,0.066666667,5.034612954,
E,2018-10-29 09:06:26,3709,3709,110,26397.1051,0,0,
E,2018-10-29 09:06:37,3717,3717,142,26404.02769,0.091666667,6.922592861,
E,2018-10-29 09:06:46,3708,3711,143,26409.69163,0.075000002,5.663939722,
E,2018-10-29 09:06:46,3709,3709,502,26409.69163,0,0,
I,2018-10-29 09:06:46,3713,5301,142,26409.69163,0,0,
I,2018-10-29 09:07:00,3715,3715,116,26418.5022,0.116666668,8.810572769,
E,2018-10-29 09:07:15,3708,3708,142,26427.9421,0.124999998,9.439899141,
E,2018-10-29 09:07:26,3709,3709,115,26434.86469,0.091666667,6.922592861,
E,2018-10-29 09:07:29,3709,3709,502,26436.75267,0.025000001,1.887979907,
E,2018-10-29 09:07:29,3708,3711,410,26436.75267,0,0,
E,2018-10-29 09:07:48,3709,3709,143,26448.70988,0.158333334,11.95720582,
I,2018-10-29 09:07:59,3715,3715,142,26455.63247,0.091666667,6.922592861,
I,2018-10-29 09:08:03,3712,3712,143,26458.14978,0.033333331,2.517306279,
I,2018-10-29 09:08:24,3718,5301,143,26471.36564,0.175000004,13.21585935,
E,2018-10-29 09:08:38,3708,3711,502,26480.17621,0.116666663,8.810572373,
I,2018-10-29 09:09:01,3712,3712,110,26494.65072,0.19166667,14.47451249,
E,2018-10-29 09:09:10,3717,3717,142,26500.31466,0.074999997,5.663939326,
E,2018-10-29 09:09:11,3711,3711,116,26500.94399,0.008333335,0.629326768,
E,2018-10-29 09:09:17,3715,3715,143,26504.71995,0.050000001,3.775959815,
E,2018-10-29 09:09:20,3708,3708,116,26506.60793,0.025000001,1.887979907,
E,2018-10-29 09:09:27,3708,3708,142,26511.01322,0.058333331,4.405286187,
E,2018-10-29 09:09:37,3717,3717,142,26517.30648,0.083333332,6.293266094,
E,2018-10-29 09:09:40,3708,3711,143,26519.19446,0.025000001,1.887979907,
I,2018-10-29 09:09:47,3715,3715,122,26523.59975,0.058333336,4.405286582,
I,2018-10-29 09:10:00,3715,3715,142,26531.78099,0.108333332,8.181246001,
I,2018-10-29 09:10:35,3715,3715,142,26553.80743,0.291666667,22.02643172,
I,2018-10-29 09:10:36,3715,3715,502,26554.43675,0.008333335,0.629326768,
I,2018-10-29 09:10:46,3713,3715,502,26560.73002,0.083333332,6.293266094,
E,2018-10-29 09:10:50,3708,3711,143,26563.24733,0.033333331,2.517306279,
I,2018-10-29 09:10:52,3712,3712,142,26564.50598,0.016666671,1.258653535,
I,2018-10-29 09:11:08,3713,5141,502,26574.5752,0.133333333,10.06922591,
I,2018-10-29 09:11:12,3713,5301,142,26577.09251,0.033333331,2.517306279,
I,2018-10-29 09:11:17,3715,3715,137,26580.23914,0.041666666,3.146633047,
I,2018-10-29 09:11:42,3703,3703,116,26595.97231,0.208333335,15.73316563,
E,2018-10-29 09:11:42,3708,3708,502,26595.97231,0,0,
I,2018-10-29 09:12:00,3713,5301,116,26607.30019,0.149999998,11.32787905,
